2.492259475432995197e-01,2.453420553013661021e-01,2.528432323135703652e-01,2.454083016977408604e-01,2.519485678715556176e-01,2.545517521610733414e-01,2.553155083732611685e-01,2.474803528738333536e-01,2.570243841920356598e-01,2.510442915208676573e-01
7.665541737933622736e-03,7.255049437624180343e-03,7.714422787890127566e-03,7.146781891873797525e-03,6.498756477736915629e-03,7.052739654869611373e-03,7.072911528685102943e-03,7.692169513186699302e-03,7.165827471037991211e-03,7.224037464727197690e-03
6.457730740318141927e-03,7.209788087727173576e-03,7.416912407844165889e-03,7.265367102899478007e-03,6.869336723926942022e-03,6.634458321613757523e-03,6.929880283253773109e-03,6.451253906468708797e-03,7.196299987738299757e-03,6.465299273423163323e-03
1.026761637043570666e-02,1.012051854135191664e-02,9.225309483000761895e-03,1.006077675095244303e-02,8.836116721422180437e-03,9.269343711138635158e-03,1.024623851222026746e-02,9.982906682699344697e-03,9.361168426786938696e-03,1.185702298364014681e-02
6.801630022848787448e-03,6.787428334570695665e-03,7.258203420377617662e-03,7.321311197627559768e-03,5.684036723442455197e-03,6.139576664095273452e-03,6.211163144038976507e-03,6.937939044389765907e-03,5.371738511717100151e-03,5.995048996627620058e-03
5.246710077037709460e-03,5.344122505551383503e-03,5.037127760567177565e-03,5.286551468397647502e-03,4.985989072723159658e-03,4.887010082257551256e-03,5.114975071016653399e-03,5.586565740486964214e-03,5.172588955114691862e-03,4.517279905263594901e-03
5.991806638074023868e-03,5.517780840537312402e-03,6.045303619312019337e-03,5.710344909375111681e-03,5.740220008132396537e-03,5.803592968801206571e-03,5.585979286931317712e-03,5.591702980381865577e-03,5.906809924411919252e-03,5.440382703408764946e-03
7.688858180173322246e-03,5.692328230623921841e-03,7.433436704634479100e-03,6.280398599872628537e-03,7.226754695316806899e-03,6.468793419375660526e-03,6.777491136368871995e-03,6.896703983227605791e-03,6.053440178223275757e-03,6.988652208748944057e-03
1.214054698788674322e-02,1.424420175038520163e-02,1.286944577816120407e-02,1.082353146258422348e-02,1.369891406350736036e-02,1.330684481435980004e-02,1.274466706713775835e-02,1.623770244306385960e-02,1.105331671774559092e-02,1.151730582704278694e-02
8.073752318376847467e-03,6.418516727941188209e-03,8.863768969410027246e-03,8.458509724543135030e-03,8.188352222155062879e-03,8.322644108930995002e-03,8.214830239929551275e-03,8.099292155516898961e-03,8.820051397572404445e-03,7.886329460566535512e-03
6.917737120833701743e-03,7.649040615855959291e-03,6.367289665312371102e-03,7.495485768514464388e-03,6.468554783926586463e-03,7.263718133725663093e-03,7.073878907910740969e-03,7.628250343613348326e-03,6.868448305753155521e-03,6.420522980025504013e-03
9.062223023509992023e-03,6.756030254975091930e-03,8.274724537112792405e-03,8.321830082973611167e-03,8.181150496947529882e-03,7.589920579257406798e-03,7.827316218286858168e-03,7.775430858814227908e-03,8.622140915732972449e-03,7.209062020022855358e-03
9.105904195433143361e-03,1.000179911878399004e-02,9.031394084860958418e-03,9.223528205402406824e-03,9.616609706794371215e-03,9.205060767992580273e-03,1.000442867291435542e-02,9.037094375604640129e-03,8.294544662891555065e-03,8.705348176194406193e-03
7.086833077559532429e-03,7.810663133486060554e-03,7.049792849035898916e-03,7.182673302523839842e-03,7.324026812003077598e-03,6.972077904946027971e-03,7.157100637217901282e-03,7.460612543603468809e-03,6.738611861875969285e-03,7.131694617754921056e-03
8.572159090878281665e-03,7.373052368054265615e-03,8.388848485253976722e-03,8.206172766585256503e-03,8.730124959984611466e-03,8.041443945090084866e-03,9.541643524913403368e-03,8.695474257699238596e-03,8.868293230265897678e-03,9.221041332511666772e-03
